Text,Cluster
"Servicer forgot his mask, coached that if cannot maintain 6 from other employees on dock required to wear mask",0
"Employee did not think a mask was required working outside, I explained due to less than 6' distance it was required.",0
Electrican observed not wearing required hand protection whiule installing ground cable in concrete formsElectrican observed not wearing required hand protection whiule installing ground cable in concrete forms,0
"Employees working on top of the transformer are not able to maintain 6 feet of spacing. However, physical spacing on this date were not required for this area.",0
Inspector and Safety Advisor observed that a step ladder did not have legible labels as required to be used safely.,0
"[NAME] did not have a fire briefing and had never used. Showed them what it was, why required by ATE, and how to fill out.",0
Multiple instances of employees not wearing required PPE for the work. Several employees were observed removing the PPE after being coached about the importance of wearing it after I left the immediate area. This is an ongoing persistent issue.,0
"Required fall clearance was unknown for crew member using the basket as a anchor point, while performing work on breaker.",0
The contractor has located materials and equipment next to a 138kV line. This causes workers to egress / ingress back and forth under the line and the contractors site supervision has not erected 36X36in. warning signs as required by AEP.,0
[NAME] has opportunity to better understand the felling policy to include when a notch is required and when a rope is required. Review AWMs for tree felling.,0
"Had discussion if crews were discussing hazards in depth, individuals had been using the boat required to pull boom in the river with a known leak.",0
Critter guard fence and the plate was left in blocking the walk path to where stepping over was required. We removed the plate,0
One Troubleman had doors open on a live front switch gear looking around. Gloves worn however no sleeves on his person. Drove up and mentioned the sleeves required and made correction. 3 of the 4 bays were energized.,0
"Employees onsite were NOT listed on the Addendum A Training Document, for verification of credentials required by AEP.",0
Bucket was used to support phase. No boom attachment or hot link available. LineTec supervision provided the proper equipment and briefed the crew on its required use.,0
"Even though this is a bucket crew, there is no climbing gear on the truck. The foreman is qualified to climb, and the new trimmer should be receiving training to climb. Therefore, two sets of climbing gear are required. GF notified on site and agreed to supply required items.",0
"Explained that "" "" Electrical contact "" "" icon was required for even testing. The test voltage used was 80 KV. They agreed after discussion.",0
One operator did not have leg restraints properly placed and tight. Coached employee on the way it is required and the dangers of not being proper he made corrections immediately.,0
Contractor crew was observed hook in up a trailer not wearing hard hats. The supervisor was made aware and he reminded the crew member to have on the required pipe when working.,0
"[NAME] did not have Arborist Permit for S [NAME], [NAME] only had 3 working saws on 4 man crew ( 4 required )",0
Stick did not have MID mark and was right at the minimum length required for 765KV ( 17 ) Coached employees and also shared screen shot of safety manual for future reference.,0
Observed [NAME] Member Walking Around In [NAME] While Not Wearing The Required Highviz Outer [NAME] As Required,0
